,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
38140,19603,Kyle Chalmers,M,18.0,193.0,90.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Gold
38141,19603,Kyle Chalmers,M,18.0,193.0,90.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
38142,19603,Kyle Chalmers,M,18.0,193.0,90.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
38168,19619,Mussa Chamaune,M,23.0,172.0,66.0,Mozambique,MOZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
38169,19619,Mussa Chamaune,M,23.0,172.0,66.0,Mozambique,MOZ,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
38206,19634,Peter Chambers,M,26.0,186.0,72.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,
38211,19636,Richard Scott Chambers,M,31.0,183.0,74.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,
38218,19643,Frank Chamizo Marquez,M,24.0,172.0,65.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
38221,19644,Miles Cleveland Chamley-Watson,M,26.0,193.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",
38222,19644,Miles Cleveland Chamley-Watson,M,26.0,193.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Bronze
38236,19649,Ludovic Chammartin,M,31.0,168.0,60.0,Switzerland,SUI,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,
38239,19652,Victria Chamorro,F,20.0,176.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
38251,19656,Simeon Chamov,M,25.0,180.0,69.0,Bulgaria,BUL,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Welterweight,
38270,19668,Chan Chun Hing,M,35.0,170.0,70.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Mountainbike, Cross-Country",
38282,19675,Chan Hao-Ching,F,22.0,175.0,60.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
38310,19692,Chan Ming Tai,M,21.0,175.0,66.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,
38318,19696,Chan Peng Soon,M,28.0,175.0,68.0,Malaysia,MAS,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Silver
38335,19705,"Zhi Cheng ""Tiffany"" Chan",F,22.0,160.0,52.0,Hong Kong,HKG,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,
38343,19711,Chan Yung-Jan,F,26.0,170.0,60.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Doubles,
38355,19717,Dutee Chand,F,20.0,160.0,50.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,
38361,19721,Nickel Nishal Chand,M,21.0,167.0,60.0,Fiji,FIJ,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
38370,19727,Apurvi Singh Chandela,F,23.0,157.0,54.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",
38415,19756,Chang Hao,M,25.0,173.0,72.0,Chinese Taipei,TPE,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Windsurfer,
38429,19760,Chang Hye-Jin,F,29.0,158.0,50.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,Gold
38430,19760,Chang Hye-Jin,F,29.0,158.0,50.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Team,Gold
